;V1;V2
janitor;1.4002182;0.34557542
creating;1.1317878;-0.2089032
offer;1.2663054;-0.13340092
wont;0.71832263;0.38742724
example;1.0394214;0.322373
decent;0.9304045;-0.13935344
excited;0.32804376;0.6500713
available;1.0900553;-0.16800423
despite;1.1314644;0.22853994
soon;1.1530131;-0.1308306
impossifications;0.8226902;0.35806698
profit;1.3585739;-0.024656978
dont;0.8232296;-0.17140515
list;0.52563363;-0.2292173
unless;0.7669819;-0.140272
real;1.1591496;-0.09007981
buying;0.83959776;0.19610293
went;0.57476777;0.12610449
away;1.1058539;0.5978757
support;0.4702698;0.6277786
man;0.371295;0.4469153
pick;0.85415316;0.41447833
easier;0.6802392;0.45897314
forward;0.60896343;0.616685
running;1.1509556;-0.2911804
pay;0.30936092;-0.23484693
life;1.0659798;0.091010936
piece;0.64622116;-0.18519934
okay;0.9996729;0.22301473
tried;0.46329945;-0.028301418
fine;0.8147601;-0.078511365
absolutely;0.898196;-0.059171267
certain;1.0084388;-0.20001736
free;0.96195287;0.38615513
cost;0.8068538;0.3382387
item;0.3674084;0.2983257
limited;0.5241745;-0.3386892
set;0.3831332;0.13301149
randomly;1.207733;0.4141431
fixing;0.36199936;-0.19305392
recommended;0.49998653;0.064368926
reach;0.38421497;-0.31737998
ground;0.8402864;-0.1952298
die;0.8543688;-0.040775254
year;0.59165627;0.06726595
enjoyable;0.30475003;0.1515224
mess;1.0840594;0.5508552
animation;0.42679086;0.0091779195
lose;0.93561685;-0.3021924
matter;0.6239048;0.46433514
longer;1.134995;-0.25859168
wrong;0.3564505;-0.2781534
hopefully;0.58206326;0.61043143
disappointed;0.8983192;0.38309306
opinion;0.9349048;-0.013153548
clunky;1.2492723;-0.18546416
intuitive;0.27082223;0.030661652
currently;0.45820224;-0.04601216
objective;0.6488432;0.5376709
left;0.6547859;0.07405963
loss;0.77884245;-0.2699151
continue;1.0250164;0.56195074
unfortunately;0.19341844;0.2827886
dlcs;1.0450327;-0.25834346
style;0.50897086;-0.18799913
stuff;0.87589496;0.06372551
stand;1.1182543;-0.2574764
upgrade;1.0846201;0.33857942
instead;0.77844226;0.286887
end;0.37074938;-0.3072681
honestly;0.7081131;0.44788072
get;1.0053673;0.42452264
entirely;0.55001754;0.5509675
rating;0.23851718;0.3296199
tell;0.6037653;0.3195034
probably;0.9628653;-0.1946554
hook;1.0279795;-0.3132725
number;0.9219244;-0.2274504
past;0.5719542;0.67024463
key;0.37037632;0.24736689
simulator;0.85205925;0.5307803
character;0.26343802;0.0091665005
sadly;1.0376328;0.37987655
pre;0.63660073;-0.26905793
choice;0.7217989;-0.21339414
train;1.0396675;-0.09601836
mean;0.7266393;0.23600867
version;0.54939044;0.18348908
food;1.192356;0.19904542
unique;0.5159859;0.080540024
scenery;1.0075966;0.24761023
worked;0.76930046;0.66828305
prefab;0.44159976;0.12414764
smooth;1.1721001;0.5011218
started;0.64086545;-0.30804983
wanting;0.74511683;0.034704164
wacky;1.1381736;0.2113259
leaf;0.7189429;0.26870468
thought;0.48802426;-0.12347128
minor;0.55161387;0.036273472
group;0.9825784;0.6006811
quickly;0.5401524;0.2811557
con;0.29774356;0.21960773
worse;0.32419333;-0.26581734
crashing;0.31170788;-0.30875728
personally;0.86823106;-0.17559046
texture;1.1616381;-0.17696576
care;0.7459806;0.6287554
kind;0.29034257;-0.3430845
nicht;0.41978934;0.0010498682
compared;0.5394114;-0.30911383
ist;0.5727788;0.3431561
basic;0.25228798;-0.29870668
und;0.79711795;-0.22172488
old;0.3797816;-0.26509926
main;0.7901422;-0.038991313
paid;0.8729817;0.20216733
break;0.42766282;0.4421857
turn;0.42443946;-0.06587448
part;0.28375494;-0.059188787
sound;0.5883384;0.49587607
coming;0.5213432;0.4026784
trash;1.0309982;-0.21293001
eventually;0.7418891;0.42106888
solid;0.624159;0.5215029
season;1.0050508;-0.160517
placement;0.46321046;0.32148346
concept;0.36605555;-0.20873065
biggest;0.9023481;-0.1645504
waste;0.066077136;0.082467645
drop;0.41357166;0.14782593
ironed;0.2755137;0.076758675
feedback;0.38040867;0.13386504
click;1.0897481;-0.14183035
setting;0.46318224;0.40408957
came;0.95484364;-0.0945214
tree;1.0592571;0.5729073
causing;0.37240246;0.1480514
reminds;0.650653;-0.09534255
npc;0.29667708;-0.20911679
wanted;0.34317774;0.07226294
screen;0.6829073;-0.014048656
updated;0.53387547;0.24427755
unfinished;0.8215926;0.123123385
lol;0.27132982;-0.331678
unable;0.5671469;0.46728405
enjoyment;0.53223693;-0.34782857
zoo;0.10457886;0.45063603
mind;0.23971954;0.41350138
element;0.3566187;0.5857065
undo;0.123630315;0.268121
profitable;0.5804824;-0.19082862
improvement;0.48020932;0.10135794
structure;0.3574191;0.08866057
quality;0.20436199;0.2681196
task;1.0509094;0.016797828
spent;0.3100683;0.25487393
manage;0.970349;-0.17858563
looked;0.07343897;-0.049134925
impossified;0.8837956;0.13670823
felt;0.15519318;0.06456867
repair;0.93257505;-0.27831027
simulation;0.2147763;0.57467765
creative;-0.032429103;0.28979206
fee;0.6354516;0.47063005
show;0.9380799;-0.027287632
sense;0.3825578;0.5859105
whilst;0.597411;0.42911673
fast;-0.049480695;0.58055305
leaving;0.52410835;-0.1574577
amazing;0.5543978;0.0668539
performance;0.74415565;0.0032351199
tedious;0.45624995;0.26324794
promise;0.8792029;-0.14521399
addressed;0.6311757;-0.28355986
underground;0.07962452;0.07283855
snap;0.145464;0.2788002
take;0.70480096;0.028463552
bought;0.5741317;0.56500983
allow;0.943879;0.01328944
happy;0.62342036;-0.087333925
general;0.37280673;0.49672514
fully;0.51678044;0.11342504
size;0.42797038;-0.11370966
low;0.66303813;-0.10480671
qol;0.15468009;0.6000057
sims;0.6500306;0.5629013
zero;0.87850046;0.25362468
hoping;1.0670682;-0.07786456
clip;0.5784054;0.41752186
der;1.0484637;-0.098172225
weird;1.0951585;-0.02489746
color;0.95629764;0.1579967
module;0.22625035;0.023051249
thumb;0.07757269;-0.02749133
bench;0.5274869;0.5899632
apparently;1.0326283;-0.203942
completed;0.70771366;0.24397217
custom;0.44302356;-0.34234834
unlocked;0.6536358;-0.26248717
box;0.68658054;-0.21675128
bring;0.6497166;0.57930756
added;0.464318;0.33212718
awful;0.50764394;0.5116426
ich;0.91904527;-0.30020866
disappointing;0.24592449;0.25587696
finally;0.50083214;0.050054383
reopen;0.47091442;0.028928852
gone;0.42505035;0.32028505
constant;0.4018876;-0.039675195
placed;0.47139233;0.12443194
nearly;0.381213;-0.14981148
ignore;0.6849574;0.0032698542
existing;0.63720685;0.15804209
half;0.73367316;-0.24328224
extremely;0.010485788;-0.14219819
waiting;0.9695235;0.03183166
cause;0.14676607;0.11572334
clear;0.18892041;0.40768403
reset;0.13123086;0.29408723
core;-0.019454654;0.16620569
board;0.741164;0.46224785
creativity;0.019667214;-0.21807162
complicated;0.14018746;-0.28878847
edition;-0.12621918;-0.020137915
interesting;0.35877973;-0.2712867
designing;0.9385354;0.18787523
walking;0.78656995;0.18777624
super;0.55467844;-0.25096977
art;0.46157554;0.3471768
person;0.23717229;0.17041129
poor;0.49906492;0.003446429
incredibly;0.7960704;0.47397786
appeal;0.49152392;0.44008467
rollercoasters;0.7769216;-0.16692838
adding;0.24766314;-0.21735306
experienced;-0.049004834;0.4988813
seriously;0.33042395;-0.24763332
starting;0.18877886;0.34479347
visioneer;0.19369408;-0.098113775
clipping;0.65382475;-0.008702445
system;0.43033996;0.17831074
drink;0.4824342;0.57764363
unrealistic;0.46426293;-0.4543912
finish;0.82450753;-0.21693937
luck;0.5218707;0.34226564
colour;0.11379354;-0.021189174
fact;0.7095224;-0.1489732
desktop;0.095001236;0.5746939
bunch;0.3541801;-0.13640995
needed;0.9034987;0.3197871
exit;0.5014236;0.5332487
pathway;0.06283309;0.38449594
built;0.5915939;0.3126465
extra;0.4801896;0.30761084
couple;0.6159016;0.40803072
expect;0.3239921;-0.11689547
pro;0.4957526;0.24800779
easily;0.2532147;0.4042307
perfect;0.5420496;0.45836404
complaint;0.5997651;0.5097607
development;0.37300396;0.5065312
polished;0.7615412;-0.27917844
menu;0.3855706;0.015815381
loved;0.5937774;0.032657992
expansion;0.3537798;0.5003224
audio;0.88044244;0.014282938
similar;0.18933885;-0.1291761
middle;0.08481246;-0.40786615
shut;0.436275;-0.12462602
finished;0.54334044;0.37423667
literally;0.20567682;-0.39652193
brings;0.5887701;-0.22317444
major;0.38552743;-0.12635884
simply;0.7566661;0.10397643
exactly;0.51634073;-0.053738344
completing;0.36864695;0.490938
load;0.61897045;-0.16312757
using;0.22422011;0.21621698
help;0.8019648;0.39630648
riding;0.03916537;0.5404224
mention;0.7381496;0.49161968
sehr;1.1291852;-0.22564796
learn;-0.13165453;0.36072478
limbic;0.7425972;0.23324524
broke;0.71929705;0.0053930813
read;0.75551987;-0.3996492
happens;0.14916606;-0.20350082
default;0.6068699;0.43712598
