;V1;V2
janitor;1.3701472;0.31915304
creating;1.0834895;-0.24182418
offer;1.2462702;-0.15391353
wont;0.700748;0.36591998
example;1.0074584;0.2945892
decent;0.9029155;-0.16237853
excited;0.3070258;0.6293996
available;1.0782043;-0.18630292
despite;1.1103047;0.20573038
soon;1.1329978;-0.1536246
impossifications;0.8147997;0.34436065
profit;1.3326191;-0.048728768
dont;0.80181277;-0.19224147
list;0.4915185;-0.25697914
unless;0.7434543;-0.1607724
real;1.1372765;-0.11234262
buying;0.8229594;0.17851913
went;0.5578059;0.10708909
away;1.0863228;0.58279514
support;0.45492628;0.61133623
man;0.3525482;0.42880788
pick;0.8231265;0.38724446
easier;0.66794616;0.4450338
forward;0.589838;0.597488
running;1.1309893;-0.3100639
pay;0.28729218;-0.25371352
life;1.0384424;0.06495527
piece;0.6251334;-0.21316898
okay;0.9861552;0.20910543
tried;0.43578053;-0.05278775
fine;0.79825073;-0.09365703
absolutely;0.88066405;-0.07641928
certain;0.98822236;-0.22128518
free;0.94135034;0.3682178
cost;0.78585505;0.31664526
item;0.34737176;0.2787688
limited;0.50693667;-0.35167873
set;0.3503813;0.10800769
randomly;1.1872972;0.39110422
fixing;0.3456664;-0.20830156
recommended;0.47554344;0.043477733
reach;0.35787106;-0.33779877
ground;0.81646514;-0.22057867
die;0.80943954;-0.075058274
year;0.57473516;0.050703414
enjoyable;0.28603098;0.13230251
mess;1.0679562;0.5338702
animation;0.40617;-0.010224527
lose;0.918099;-0.32103935
matter;0.6082804;0.4505711
longer;1.1125724;-0.28008136
wrong;0.33770347;-0.29509252
hopefully;0.57009304;0.59594923
disappointed;0.8855304;0.3688949
opinion;0.9129754;-0.03229113
clunky;1.2248822;-0.20585245
intuitive;0.25171444;0.01556653
currently;0.4448092;-0.057693835
objective;0.63728315;0.5221651
left;0.62737226;0.05509065
loss;0.7507614;-0.2885793
continue;1.0086385;0.5459326
unfortunately;0.17260878;0.26484933
dlcs;1.033026;-0.27096623
style;0.48559833;-0.20999683
stuff;0.8675666;0.050976027
stand;1.0980483;-0.27576268
upgrade;1.0615028;0.31567445
instead;0.7540764;0.26540002
end;0.35365465;-0.32615647
honestly;0.68850785;0.43019947
get;0.9961263;0.41056177
entirely;0.5414476;0.53749925
rating;0.21173427;0.30847913
tell;0.59230673;0.30533358
probably;0.95173997;-0.21082419
hook;1.0100303;-0.33126044
number;0.8949152;-0.25248528
past;0.54981744;0.64874995
key;0.360753;0.23749152
simulator;0.83673763;0.5191503
character;0.24452509;-0.009106936
sadly;1.0243376;0.36608034
pre;0.61638653;-0.28737527
choice;0.71573925;-0.22699991
train;1.027917;-0.11176671
mean;0.7061371;0.21498156
version;0.53768015;0.16850626
food;1.1752839;0.17824161
unique;0.5018819;0.064566545
scenery;0.98148686;0.22886698
worked;0.7381793;0.6449372
prefab;0.41396576;0.102119066
smooth;1.1518123;0.48144555
started;0.6241167;-0.32394323
wanting;0.7257164;0.016671984
wacky;1.1232197;0.19501053
leaf;0.69828886;0.25057185
